insert [Andes Online Store]
( [Date].[2019].[Q1].[M1].[29], [Goods].[Electronic/Electrical].[Video Games].[Ps], [Region].[Asia].[Bangladesh], [Payment Methods].[Apple Pay], [Customer Types].[Indecisive buyers], [Sales Channels].[Direct sales] Measures [Sales] 2 [Sales Count] 2 ),
( [Date].[2019].[Q1].[M2].[8], [Goods].[Clothing].[Jewelry].[Belt], [Region].[Africa].[Ghana], [Payment Methods].[Google Pay], [Customer Types].[One-time buyers], [Sales Channels].[Telemarketing] Measures [Sales] 23 [Sales Count] 6 ),
( [Date].[2019].[Q1].[M2].[14], [Goods].[Foodstuff].[Wine].[Red Wine], [Region].[Europe].[Denmark], [Payment Methods].[Prepaid cards], [Customer Types].[Bargain hunters], [Sales Channels].[Dropshipping] Measures [Sales] 11 [Sales Count] 6 ),
( [Date].[2019].[Q1].[M2].[24], [Goods].[Electronic/Electrical].[Office Supplies].[Projector], [Region].[Africa].[Algeria], [Payment Methods].[Amazon Pay], [Customer Types].[Indecisive buyers], [Sales Channels].[Email marketing] Measures [Sales] 25 [Sales Count] 2 ),
( [Date].[2019].[Q1].[M2].[26], [Goods].[Motion].[Fitness Equipment].[Dumbbell], [Region].[Africa].[Ghana], [Payment Methods].[Apple Pay], [Customer Types].[Impulsive buyers], [Sales Channels].[Email marketing] Measures [Sales] 1 [Sales Count] 9 ),
( [Date].[2019].[Q1].[M3].[4], [Goods].[Electronic/Electrical].[Office Supplies].[Shredder], [Region].[Europe].[Bulgaria], [Payment Methods].[Amazon Pay], [Customer Types].[Impulsive buyers], [Sales Channels].[Social media] Measures [Sales] 15 [Sales Count] 1 ),
( [Date].[2019].[Q1].[M3].[22], [Goods].[Motion].[Fishing Supplies].[Fishing Lights], [Region].[Europe].[Spain], [Payment Methods].[PayPal], [Customer Types].[Researchers], [Sales Channels].[Content marketing] Measures [Sales] 22 [Sales Count] 8 ),
( [Date].[2019].[Q2].[M4].[27], [Goods].[Clothing].[Men].[Jeans], [Region].[Asia].[Indonesia], [Payment Methods].[Apple Pay], [Customer Types].[Return customers], [Sales Channels].[Wholesale] Measures [Sales] 14 [Sales Count] 9 ),
( [Date].[2019].[Q2].[M4].[29], [Goods].[Clothing].[Jewelry].[Tie], [Region].[North America].[El Salvador], [Payment Methods].[Google Pay], [Customer Types].[Return customers], [Sales Channels].[Wholesale] Measures [Sales] 26 [Sales Count] 1 ),
( [Date].[2019].[Q2].[M5].[28], [Goods].[Motion].[Fishing Supplies].[Fishing Line], [Region].[Europe].[Monaco], [Payment Methods].[Bank transfer], [Customer Types].[Return customers], [Sales Channels].[Content marketing] Measures [Sales] 13 [Sales Count] 6 ),
( [Date].[2019].[Q2].[M6].[9], [Goods].[Clothing].[Men].[Suit], [Region].[Africa].[Namibia], [Payment Methods].[Credit card], [Customer Types].[Researchers], [Sales Channels].[Dropshipping] Measures [Sales] 13 [Sales Count] 2 ),
( [Date].[2019].[Q2].[M6].[15], [Goods].[Motion].[Fishing Supplies].[Float], [Region].[Africa].[Zambia], [Payment Methods].[Credit card], [Customer Types].[One-time buyers], [Sales Channels].[Email marketing] Measures [Sales] 4 [Sales Count] 5 ),
( [Date].[2019].[Q2].[M6].[23], [Goods].[Electronic/Electrical].[Household Appliances].[Washer], [Region].[Asia].[Armenia], [Payment Methods].[Cash on delivery], [Customer Types].[Loyal customers], [Sales Channels].[Email marketing] Measures [Sales] 8 [Sales Count] 0 ),
