insert [Sahara Online Store]
( [Date].[2019].[Q1].[M1].[4], [Goods].[Electronic/Electrical].[Video Games].[Xbox], [Region].[North America].[Saint Vincent and the Grenadines], [Payment Methods].[PayPal], [Customer Types].[Bargain hunters], [Sales Channels].[Affiliate marketing] Measures [Sales] 27 [Sales Count] 7 ),
( [Date].[2019].[Q1].[M1].[8], [Goods].[Motion].[Ball].[Basketball], [Region].[Europe].[Luxembourg], [Payment Methods].[Cash on delivery], [Customer Types].[New customers], [Sales Channels].[Affiliate marketing] Measures [Sales] 24 [Sales Count] 3 ),
( [Date].[2019].[Q1].[M1].[10], [Goods].[Motion].[Fishing Supplies].[Float], [Region].[Africa].[Nigeria], [Payment Methods].[Prepaid cards], [Customer Types].[Researchers], [Sales Channels].[Wholesale] Measures [Sales] 23 [Sales Count] 6 ),
( [Date].[2019].[Q1].[M1].[12], [Goods].[Clothing].[Shoes].[Slippers], [Region].[North America].[Haiti], [Payment Methods].[Credit card], [Customer Types].[Impulsive buyers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 28 [Sales Count] 7 ),
( [Date].[2019].[Q1].[M1].[19], [Goods].[Foodstuff].[Fruits].[Durian], [Region].[North America].[Guatemala], [Payment Methods].[Credit card], [Customer Types].[Impulsive buyers], [Sales Channels].[Affiliate marketing] Measures [Sales] 11 [Sales Count] 1 ),
( [Date].[2019].[Q1].[M2].[1], [Goods].[Clothing].[Jewelry].[Belt], [Region].[Africa].[Congo/Republic of the Congo], [Payment Methods].[Amazon Pay], [Customer Types].[Loyal customers], [Sales Channels].[Wholesale] Measures [Sales] 11 [Sales Count] 3 ),
( [Date].[2019].[Q1].[M2].[4], [Goods].[Motion].[Ball].[Football], [Region].[North America].[Bahamas], [Payment Methods].[PayPal], [Customer Types].[Impulsive buyers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 3 [Sales Count] 8 ),
( [Date].[2019].[Q1].[M2].[13], [Goods].[Clothing].[Ladies].[Skirt], [Region].[Africa].[Benin], [Payment Methods].[Google Pay], [Customer Types].[Bargain hunters], [Sales Channels].[Social media] Measures [Sales] 5 [Sales Count] 1 ),
( [Date].[2019].[Q1].[M2].[13], [Goods].[Motion].[Other].[Mountain Biking], [Region].[Europe].[San Marino], [Payment Methods].[Digital wallets], [Customer Types].[Impulsive buyers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 18 [Sales Count] 8 ),
( [Date].[2019].[Q1].[M2].[21], [Goods].[Clothing].[Men].[Suit], [Region].[Oceania].[Palau], [Payment Methods].[Cash on delivery], [Customer Types].[Loyal customers], [Sales Channels].[Wholesale] Measures [Sales] 2 [Sales Count] 5 ),
( [Date].[2019].[Q1].[M2].[28], [Goods].[Motion].[Ball].[Football], [Region].[Asia].[Jordan], [Payment Methods].[Prepaid cards], [Customer Types].[Indecisive buyers], [Sales Channels].[Wholesale] Measures [Sales] 19 [Sales Count] 8 ),
( [Date].[2019].[Q1].[M3].[1], [Goods].[Motion].[Fitness Equipment].[Dumbbell], [Region].[Asia].[Philippines], [Payment Methods].[PayPal], [Customer Types].[One-time buyers], [Sales Channels].[Wholesale] Measures [Sales] 28 [Sales Count] 2 ),
( [Date].[2019].[Q1].[M3].[11], [Goods].[Clothing].[Shoes].[Slippers], [Region].[Oceania].[Samoa], [Payment Methods].[Debit card], [Customer Types].[Loyal customers], [Sales Channels].[Email marketing] Measures [Sales] 17 [Sales Count] 8 ),
( [Date].[2019].[Q1].[M3].[16], [Goods].[Foodstuff].[Drink].[Sugar-Free Drinks], [Region].[Asia].[Kuwait], [Payment Methods].[Amazon Pay], [Customer Types].[One-time buyers], [Sales Channels].[Content marketing] Measures [Sales] 11 [Sales Count] 3 ),
( [Date].[2019].[Q1].[M3].[21], [Goods].[Foodstuff].[Drink].[Milk], [Region].[Africa].[Eritrea], [Payment Methods].[Apple Pay], [Customer Types].[Product-focused buyers], [Sales Channels].[Content marketing] Measures [Sales] 22 [Sales Count] 5 ),
( [Date].[2019].[Q1].[M3].[27], [Goods].[Motion].[Fishing Supplies].[Rod], [Region].[South America].[Paraguay], [Payment Methods].[Debit card], [Customer Types].[Indecisive buyers], [Sales Channels].[Social media] Measures [Sales] 2 [Sales Count] 2 ),
( [Date].[2019].[Q2].[M4].[5], [Goods].[Foodstuff].[Meat].[Beef], [Region].[Africa].[Gabon], [Payment Methods].[PayPal], [Customer Types].[One-time buyers], [Sales Channels].[Telemarketing] Measures [Sales] 17 [Sales Count] 1 ),
( [Date].[2019].[Q2].[M4].[10], [Goods].[Electronic/Electrical].[Household Appliances].[Refrigerator], [Region].[Africa].[Sierra Leone], [Payment Methods].[Digital wallets], [Customer Types].[Loyal customers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 9 [Sales Count] 9 ),
( [Date].[2019].[Q2].[M5].[1], [Goods].[Motion].[Ball].[Rugby], [Region].[Asia].[Timor-Leste/East Timor], [Payment Methods].[Prepaid cards], [Customer Types].[Window shoppers], [Sales Channels].[Dropshipping] Measures [Sales] 19 [Sales Count] 1 ),
( [Date].[2019].[Q2].[M5].[22], [Goods].[Motion].[Fitness Equipment].[Barbell], [Region].[Europe].[Norway], [Payment Methods].[Credit card], [Customer Types].[Window shoppers], [Sales Channels].[SEM (Search engine marketing)] Measures [Sales] 15 [Sales Count] 7 ),
( [Date].[2019].[Q2].[M6].[2], [Goods].[Clothing].[Jewelry].[Glove], [Region].[Africa].[Sudan], [Payment Methods].[Digital wallets], [Customer Types].[New customers], [Sales Channels].[Direct sales] Measures [Sales] 23 [Sales Count] 7 ),
( [Date].[2019].[Q2].[M6].[17], [Goods].[Clothing].[Shoes].[Canvas Shoes], [Region].[South America].[Guyana], [Payment Methods].[Apple Pay], [Customer Types].[Researchers], [Sales Channels].[Ecommerce marketplaces] Measures [Sales] 21 [Sales Count] 0 ),
